2021-08-27 07:16:57 status half-installed findutils:amd64 4.7.0-1ubuntu1
2021-08-27 07:16:57 status unpacked findutils:amd64 4.7.0-1ubuntu1
2021-08-27 07:16:57 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2021-08-27 07:16:57 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-27 07:16:57 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-27 07:16:57 install grep:amd64 <none> 3.4-1
2021-08-27 07:16:57 status half-installed grep:amd64 3.4-1
2021-08-27 07:16:57 status unpacked grep:amd64 3.4-1
2021-08-27 07:16:57 install gzip:amd64 <none> 1.10-0ubuntu4
2021-08-27 07:16:57 status half-installed gzip:amd64 1.10-0ubuntu4
2021-08-27 07:16:57 status unpacked gzip:amd64 1.10-0ubuntu4
2021-08-27 07:16:57 install hostname:amd64 <none> 3.23
2021-08-27 07:16:57 status half-installed hostname:amd64 3.23
2021-08-27 07:16:57 status unpacked hostname:amd64 3.23
2021-08-27 07:16:57 install init-system-helpers:all <none> 1.57
2021-08-27 07:16:57 status half-installed init-system-helpers:all 1.57
2021-08-27 07:16:57 status unpacked init-system-helpers:all 1.57
2021-08-27 07:16:57 install libacl1:amd64 <none> 2.2.53-6
2021-08-27 07:16:57 status half-installed libacl1:amd64 2.2.53-6
2021-08-27 07:16:57 status unpacked libacl1:amd64 2.2.53-6
2021-08-27 07:16:57 install libattr1:amd64 <none> 1:2.4.48-5
2021-08-27 07:16:57 status half-installed libattr1:amd64 1:2.4.48-5
2021-08-27 07:16:57 status unpacked libattr1:amd64 1:2.4.48-5
2021-08-27 07:16:57 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2021-08-27 07:16:57 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-27 07:16:57 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-27 07:16:57 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2021-08-27 07:16:57 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2021-08-27 07:16:57 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2021-08-27 07:16:57 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:16:57 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:57 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:57 install libbz2-1.0:amd64 <none> 1.0.8-2
2021-08-27 07:16:57 status half-installed libbz2-1.0:amd64 1.0.8-2
2021-08-27 07:16:57 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-08-27 07:16:57 install libc-bin:amd64 <none> 2.31-0ubuntu9
2021-08-27 07:16:57 status half-installed libc-bin:amd64 2.31-0ubuntu9
2021-08-27 07:16:58 status unpacked libc-bin:amd64 2.31-0ubuntu9
2021-08-27 07:16:58 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2021-08-27 07:16:58 status half-configured libc6:amd64 2.31-0ubuntu9
2021-08-27 07:16:58 status unpacked libc6:amd64 2.31-0ubuntu9
2021-08-27 07:16:58 status half-installed libc6:amd64 2.31-0ubuntu9
2021-08-27 07:16:58 status unpacked libc6:amd64 2.31-0ubuntu9
2021-08-27 07:16:58 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2021-08-27 07:16:58 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2021-08-27 07:16:58 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
